interval_s,flows_stddev
0,0.0
1,8.81
2,6.26
3,6.0
4,12.19
5,14.58
6,17.66
7,17.82
8,17.11
9,17.4
10,17.27
11,20.76
12,25.02
13,32.81
14,35.85
15,44.04
16,41.7
17,40.09
18,38.76
19,34.42
20,32.55
21,30.01
22,32.84
23,35.6
24,40.39
25,39.6
26,39.91
27,42.06
28,44.77
29,42.15
30,37.23
31,35.64
32,84.62
33,36.36
34,39.64
35,42.23
36,45.36
37,46.62
38,44.88
39,45.5
40,41.13
41,35.72
42,34.89
43,34.49
44,37.63
45,38.69
46,42.54
47,41.12
48,40.02
49,36.29
50,36.82
51,33.48
52,34.07
53,36.17
54,38.92
55,40.88
56,50.15
57,36.9
58,37.77
59,38.02
60,37.79
61,40.39
62,37.58
63,33.09
64,33.9
65,32.66
66,31.97
67,32.92
68,33.52
69,34.11
70,38.21
71,37.72
72,38.49
73,38.92
74,35.04
75,35.01
76,36.36
77,34.78
78,35.89
79,35.07
80,35.31
81,38.94
82,39.45
83,42.82
84,42.29
85,38.05
86,39.08
87,36.23
88,30.87
89,30.66
90,33.25
91,37.71
92,38.67
93,37.33
94,37.98
95,41.66
96,42.73
97,39.27
98,36.5
99,36.83
100,37.35
101,36.78
102,37.3
103,41.42
104,47.55
105,53.64
106,54.3
107,50.08
108,42.41
109,32.96
110,30.04
111,26.59
112,30.7
113,39.92
114,42.48
115,43.69
116,43.46
117,42.69
118,39.69
119,30.31
120,22.63
121,23.22
122,29.26
123,32.97
124,38.31
125,40.94
126,44.45
127,47.48
128,46.83
129,46.3
130,47.41
131,46.95
132,45.43
133,45.6
134,44.13
135,40.34
136,43.29
137,40.89
138,38.66
139,40.02
140,38.2
141,36.49
142,32.33
143,105.11
144,36.19
145,38.24
146,33.74
147,32.09
148,28.74
149,31.17
150,36.89
151,38.07
152,38.28
153,38.25
154,36.11
155,31.17
156,24.65
157,18.66
158,23.43
159,31.26
160,35.14
161,38.5
162,39.86
163,37.62
164,33.67
165,30.66
166,27.18
167,26.11
168,26.03
169,29.39
170,37.33
171,42.83
172,46.73
173,45.24
174,39.84
175,38.74
176,38.11
177,56.6
178,27.48
179,26.22
180,33.2
181,60.98
182,40.78
183,41.42
184,41.48
185,41.12
186,35.57
187,28.47
188,21.33
189,27.76
190,32.09
191,36.34
192,37.56
193,39.04
194,34.86
195,31.87
196,27.62
197,21.44
198,23.85
199,24.2
200,29.07
201,31.59
202,89.95
203,30.74
204,29.05
205,26.64
206,21.64
207,22.03
208,20.63
209,26.02
210,28.05
211,33.12
212,29.15
213,29.52
214,33.18
215,33.7
216,31.52
217,32.2
218,33.37
219,34.08
220,31.14
221,28.5
222,27.61
223,33.13
224,36.64
225,37.44
226,36.13
227,35.5
228,38.56
229,38.2
230,39.81
231,39.16
232,39.29
233,36.33
234,38.07
235,36.09
236,35.06
237,35.87
238,36.94
239,33.98
240,32.51
241,32.03
242,29.66
243,32.62
244,33.46
245,36.42
246,36.96
247,39.87
248,35.69
249,39.06
250,40.87
251,40.74
252,41.72
253,41.88
254,41.94
255,34.6
256,31.44
257,32.93
258,32.58
259,36.78
260,41.1
261,42.71
262,44.44
263,43.19
264,38.48
265,38.5
266,36.14
267,29.94
268,31.9
269,32.69
270,35.57
271,38.22
272,42.1
273,43.09
274,45.52
275,42.27
276,35.44
277,29.67
278,26.74
279,26.46
280,29.48
281,34.24
282,37.34
283,41.28
284,41.99
285,38.92
286,36.98
287,35.74
288,28.97
289,26.55
290,26.87
291,27.77
292,30.79
293,34.69
294,36.9
295,36.75
296,32.1
297,28.39
298,24.16
