interval_s,workers_rx_stddev_kpps
0,33.83
1,35.62
2,40.7
3,38.77
4,36.34
5,47.6
6,53.51
7,52.98
8,59.36
9,59.31
10,33.32
11,30.09
12,29.32
13,24.91
14,27.63
15,31.83
16,50.61
17,36.19
18,40.91
19,51.51
20,34.58
21,43.99
22,44.64
23,35.55
24,28.34
25,55.08
26,62.54
27,70.89
28,74.66
29,69.52
30,61.2
31,57.66
32,58.49
33,51.94
34,35.15
35,34.98
36,40.56
37,40.85
38,29.02
39,27.41
40,23.38
41,35.71
42,32.01
43,40.27
44,51.18
45,45.2
46,42.48
47,22.89
48,33.23
49,32.97
50,30.18
51,32.1
52,45.33
53,49.13
54,58.49
55,52.05
56,40.78
57,42.94
58,35.15
59,39.63
60,27.52
61,36.19
62,42.68
63,53.13
64,45.02
65,51.39
66,41.33
67,38.77
68,38.84
69,40.63
70,52.87
71,58.06
72,52.38
73,48.78
74,46.82
75,31.91
76,28.74
77,32.71
78,39.13
79,35.95
80,43.47
81,50.45
82,63.26
83,71.78
84,86.91
85,70.54
86,73.46
87,67.53
88,54.92
89,49.77
90,51.06
91,47.23
92,41.12
93,60.17
94,59.55
95,47.12
96,35.22
97,32.63
98,28.83
99,32.63
100,34.17
101,33.23
102,47.36
103,45.15
104,51.51
105,46.08
106,61.53
107,58.34
108,68.83
109,84.42
110,57.47
111,43.86
112,33.49
113,45.83
114,53.83
115,44.57
116,55.55
117,50.22
118,62.67
119,50.5
120,47.72
121,51.28
122,51.39
123,59.94
124,59.12
125,69.52
126,75.07
127,59.5
128,52.71
129,56.21
130,58.88
131,60.63
132,69.86
133,69.68
134,58.3
135,52.92
136,53.88
137,49.94
138,40.35
139,42.95
140,29.99
141,16.88
142,28.93
143,34.91
144,27.21
145,22.38
146,25.7
147,33.92
148,32.1
149,46.51
150,56.32
151,51.06
152,48.66
153,29.81
154,39.56
155,38.77
156,55.96
157,61.95
158,56.31
159,41.05
160,35.15
161,43.86
162,41.52
163,46.02
164,53.14
165,65.0
166,57.71
167,62.22
168,61.58
169,49.64
170,46.03
171,54.87
172,46.21
173,42.94
174,41.05
175,32.54
176,19.96
177,30.56
178,32.89
179,32.88
180,36.03
181,33.4
182,55.5
183,60.54
184,52.44
185,57.21
186,48.49
187,45.46
188,47.3
189,51.23
190,56.41
191,60.64
192,62.95
193,65.52
194,48.89
195,48.84
196,55.14
197,71.73
198,54.31
199,55.86
200,54.25
201,67.95
202,74.77
203,71.34
204,77.16
205,58.55
206,58.0
207,55.65
208,48.49
209,56.91
210,65.13
211,65.09
212,59.31
213,64.91
214,55.6
215,47.36
216,43.67
217,41.4
218,32.54
219,26.77
220,21.87
221,29.99
222,31.66
223,43.61
224,59.41
225,77.9
226,65.56
227,58.59
228,52.27
229,48.55
230,46.44
231,47.0
232,21.6
233,28.63
234,43.28
235,51.56
236,33.41
237,25.81
238,27.72
239,37.43
240,38.32
241,44.96
242,48.32
243,43.73
244,46.45
245,51.12
246,58.64
247,56.2
248,62.22
249,58.1
250,58.93
251,51.9
252,68.32
253,62.13
254,62.63
255,62.76
256,62.77
257,60.74
258,47.95
259,63.85
260,76.58
261,75.18
262,74.58
263,65.69
264,52.38
265,52.6
266,52.33
267,50.28
268,61.57
269,63.44
270,66.39
271,74.95
272,66.93
273,61.71
274,52.97
275,45.65
276,48.08
277,55.24
278,44.13
279,36.26
280,29.62
281,30.45
282,39.35
283,52.65
284,45.59
285,55.85
286,55.39
287,59.46
288,66.47
289,68.94
290,41.05
291,33.49
292,37.79
293,37.42
294,28.83
295,32.28
296,34.66
297,37.8
298,34.91
